[Header],,,,,,,,,,,,
System,TOC-L,,,,,,,,,,,
S/W Version,1,,,,,,,,,,,
User,nitrogen14,,,,,,,,,,,
Date/Time,3/15/22 9:27,,,,,,,,,,,
,,,,,,,,,,,,
[System],,,,,,,,,,,,
Instrument Options,TOC/ASI/IC Unit/TN/Sparge Kit/,,,,,,,,,,,
,,,,,,,,,,,,
[Data],,,,,,,,,,,,
Type,Anal.,Sample Name,Sample ID,Result(TOC),Result(TC),Result(IC),Result(POC),Result(NPOC),Result(TN),Unit,Vial,Date / Time
Unknown,IC,blank,Untitled,,,0,,,,mg/L,1,3/11/22 17:49
Unknown,IC,blank,Untitled,,,0,,,,mg/L,2,3/11/22 17:55
Standard,IC,CAL,50.31,,,50.31,,,,mg/L,"3, 11, 12, 13, 14, 15, 16, 17",3/11/22 19:19
Unknown,IC,blank,Untitled,,,0,,,,mg/L,4,3/11/22 19:26
Unknown,IC,CCV,CCV_9.877,,,9.872,,,,mg/L,21,3/11/22 19:33
Unknown,IC,CCV,CCV_24.8532,,,24.76,,,,mg/L,22,3/11/22 19:40
Unknown,IC,blank,Untitled,,,0.00853,,,,mg/L,5,3/11/22 19:47
Unknown,IC,d20220306h,d,,,11.53,,,,mg/L,31,3/11/22 19:54
Unknown,IC,J20220306h,J,,,5.009,,,,mg/L,32,3/11/22 20:01
Unknown,IC,T20220306h,T,,,13.08,,,,mg/L,33,3/11/22 20:08
Unknown,IC,S20220306h,S,,,18.72,,,,mg/L,34,3/11/22 20:15
Unknown,IC,O20220306h,O,,,29.77,,,,mg/L,35,3/11/22 20:23
Unknown,IC,blank,Untitled,,,0,,,,mg/L,6,3/11/22 20:30
Unknown,IC,J20220306B7,J,,,0.08119,,,,mg/L,36,3/11/22 20:36
Unknown,IC,J20220306P1,J,,,7.373,,,,mg/L,37,3/11/22 20:43
Unknown,IC,J20220306P2,J,,,6.729,,,,mg/L,38,3/11/22 20:50
Unknown,IC,J20220306P3,J,,,4.546,,,,mg/L,39,3/11/22 20:57
Unknown,IC,J20220306MS6,J,,,5.086,,,,mg/L,40,3/11/22 21:04
Unknown,IC,T20220306P3,J,,,4.546,,,,mg/L,41,3/11/22 21:10
Unknown,IC,blank,Untitled,,,0.00293,,,,mg/L,7,3/11/22 21:17
Unknown,IC,CCV,CCV_9.877,,,10.12,,,,mg/L,23,3/11/22 21:24
Unknown,IC, CCV,CCV_24.8532,,,25.31,,,,mg/L,24,3/11/22 21:31
Unknown,IC,blank,Untitled,,,0,,,,mg/L,8,3/11/22 21:38
